目录,题目类型,大题题干,难易度,,,,,,,
,,古之善为士者，微妙玄通，深不可识。夫唯不可识，故强为之容。豫兮若（ 1 )，犹兮若( 2 )，俨兮其若客，涣兮若冰之将释，敦兮其若( 3 )，旷兮其若( 4 )，浑兮其若浊。孰能浊以静之徐清，孰能安以动之徐生？（《道德经》第十五章）《大学人文教程》P22小心谨慎啊！像冬天涉足江河。警觉戒惕啊！像提防四周的进攻。拘谨严肃啊，像做宾客。融合可亲啊，像冰柱消融。淳厚质朴啊，像未经雕琢的素材。空豁开放啊，像深山的幽谷。浑朴纯厚啊，像浊水一样。谁能够在动荡中安静下来慢慢的澄清？谁能够在安定中活跃起来慢慢的趋进？老子认为古往今来“善为士者”，“微妙玄通，深不可识”，要了解他们非常困难，但是勉强可以形容一下。首先，具有上德的“士”，世人看他的行动，好像迟疑不决，行而不进。其实，因为他的德行敦厚、处事谨慎，所以他的内心不是畏缩胆怯，而是从容安详。其次，善为士者，待人处世皆存敬畏，决不随意马虎应付，言语行为都有威仪，以道义与人交往。一旦接触，便感亲和，觉得他春风化雨，温雅宜人，可以久处。再次，真士的外貌朴实无华、敦深厚道、没有做作姿态，“清水出芙蓉，天然去雕饰。”即使其貌不扬，观其本然真心，扑面而来的是一种深谷幽兰的独特气质。最后，善为士者，从来不以清高标榜，也不显露自己。身处芸芸众生中朴素地生活。真士不做清流，也不同流合污。他们深度认同世间的不圆满，韬光养晦，葆养大体。,,冬涉川,畏四邻,朴,谷,,,
,,"我有三宝,持而保之:一曰慈,二曰俭,三曰（    ）。——《道德经·第六十七章》《大学人文教程》P79",,不敢为天下先,,,,,,
,,庄子说：“嗜欲深者，其（       ）”——天机是人的智慧与灵性。一个人如果深陷欲海、贪婪无度，就会失去生命中的灵性与智慧，错过人生中许多好的机缘与人生真味。答案: 天机浅,,天机浅,,,,,,
,,治大国若（   ）。——（《道德经》第六十章）,,烹小鲜,,,,,,
,,有之以为利，（        ）。——（《道德经》三十章）,,无之以为用,,,,,,
,,耗散结构理论创始人、比利时学者普利高津称：“道家的思想，在探究宇宙（ 1 ）的奥秘、寻找社会的（   2   ）、追求心灵的（ 3 ）和道德完满三个层面上，对我们这个时代都有新启蒙思想的价值。”——《大学人文教程》P25,,和谐,公正与和平,自由,,,,
,,周易两派六宗：两派是指________派、_________派。六宗是指：占卜宗、禨祥宗、造化宗、老庄宗、儒理宗、史事宗。,,象数,义理,,,,,
,,《易传》则是对《易经》进行解释而形成的著作，有《彖（tuàn）传》上下、《象传》上下、《系辞》上下、《文言》、《说卦》、《序卦》、《杂卦》七种十篇组成，故称“（ ）”。,,十翼,,,,,,
,,《系辞上》以“（     ）之谓道”精炼地概括《易》理的本质。《庄子·天下篇》“《易》以道阴阳。”《朱子语类》称：“天地之间，无往而非阴阳；一动一静，一语一默，皆是阴阳之理。”——《大学人文教程》P32,,一阴一阳,,,,,,
,,《周易》三才：古人认为周易八卦的下画象征“____”，中画象征“人”，上画象征“____”。《系辞下》说：“三才之道也。”,,地,天,,,,,
,,《周易·系辞》开篇关于天地万物生成，提出全面的、纲领性的介绍和说明：在天成象，在地成形，变化见矣。是故刚柔相摩，八卦相荡。鼓之以雷霆，润之以风雨，日月运行，一寒一暑，乾道成男，坤道成女。乾知大始，坤作成物。（《系辞上》）《易传·系辞》的观点：肯定天地自然直至人间社会，一切都是“（  ）”的。阴与阳，动与静，刚与柔，天与地，乾与坤，男与女等等，各自具有尊卑高下，动静刚柔的性质，对立依存、各安其位才形成稳定的结构，在这个结构中有循环，有衍生，有反复，有相依，有相对，相互激荡，鼓动万物有雷电，润泽万物有风雨，太阳和月亮在运行，一寒一暑在推移，乾的阳气成为男人，坤的阴气成为女人，这些不都是刚柔八卦的激荡相摩吗？答案：有对,,有对,,,,,,
,,"乾知大始,坤作成物。乾以易知,坤以简能。易则易知,简则易从。易知则有亲,易从则有功。有亲则可久,有功则可大。可久则贤人之德,可大则贤人之业。（   ）而天下之理得矣。天下之理得,而成位乎其中矣。（《系辞上》）如何把乾坤的哲学思想应用于人世社会。这一段要旨在于：人心直率坦白，就容易认识；事务简单，就容易跟从；光明磊落，就容易亲近；于是事业才能长久、功业才能壮大。得到了这个道理，就能与天地相参，与天地有同样的地位了。无论自然、还是社会，道理就在“简易”!答案：易简",,易简,,,,,,
,,广大配天地，变通配四时，阴阳之义配日月，易简之善配（ ）。（《周易·系辞上》）广大可以配天地，因为乾为“大”，坤为“广”。四时在不断更替，春变夏，夏变秋，秋变冬，冬变春，周而复始。秩序从未打乱。阴阳配日月，犹如白天和黑夜。而乾的善在于“易知”，坤的善在于“简能”，而乾坤之善，就是人间的至德。圣贤效法天地，必然从习于“易知、简能”，所谓“大道至简”即在于此。  答案：至德,,至德,,,,,,
,,君子藏器于身，（    ）。（《周易·系辞上》）《系辞》表述一种怀才握物、时刻准备的状态，一种看似未动而随时腾跃的能力。孔子在《论语》中用“尽善尽美”的概念，深刻提炼出我国传统中以大德至美、君子风度为代表的审美标准。动静相宜之美，是在形与意、思与言、退与进之间制造出了一种平衡。这种能够将平衡与催动掌握在笔墨之间，随时待发的能力，就是器。——《大学人文教程》p30,,待时而动,,,,,,
,,1、日新之谓盛德，生生之谓_____。（《周易·系辞上》）2、天地之大德曰_____。（《周易·系辞下》）,,易,生,,,,,
,,__________，而生变化。（《周易·系辞上》）刚与柔相互推动，从而产生变化。刚可以变柔，柔也可以变刚。正因为存在变化，所以才能孕育希望，才有机会转变命运。,,刚柔相推,,,,,,
,,观乎天文，以察时变。观乎________，以化成天下。《周易·贲卦·彖辞》,,人文,,,,,,
,,古者包羲氏之王天下也，仰则观象於天，俯则观法於地，观鸟兽之文，与地之宜，近取诸身，远取诸物，於是始作八卦，以通_________，以类_________。,,神明之德,万物之情,,,,,
,,我国顶级学府清华大学的校训“_______，__________”出自《周易》的“象辞”——“天行健，君子以自强不息；地势坤，君子以厚德载物。”《易传》认为，宇宙、自然和人类社会的法则，即天道、地道、人道是一致的，体现了“依天道以立于人道”的大道智慧和人文精神。,,自强不息,厚德载物,,,,,
,,是故易有太极，是生( 1 )，两仪生( 2 )，四象生( 3 )。八卦定( 4 )，吉凶生大业。（《周易·系辞上》）,,两仪,四象,八卦,吉凶,,,
,,天地万物生于有，有生于（ ）道生一，一生二，二生三，三生（ ）——《老子》,,无,万物,,,,,
,,吾本来兹土，传法救迷情。________，结果自然成。,,一花开五叶,,,,,,
,,身是菩提树，____________。时时勤拂拭，勿使惹尘埃。——《坛经》,,心如明镜台,,,,,,
,,菩提本无树，明镜亦非台。___________，何处惹尘埃！——《坛经》,,本来无一物,,,,,,
,,“四书”是指__________、《论语》、___________、《中庸》（答案注意加书名号）,,《大学》,《孟子》,,,,,
,,古人为学非常讲究次第，朱熹认为应该：先读《大学》以定其规模；次读《论语》以定其根本；次读《孟子》以观其发越；次读________以求古人之微妙处。,,《中庸》,,,,,,
,,《五经》是指：《诗》、《书》、《礼》、_______、《易》答案注意加书名号,,《春秋》,,,,,,
,,子曰：“君子不重则_______，学则不固。”（《论语·学而》）,,不威,,,,,,
,,子曰：“志于__1__，据于__2__，依于__3__，游于__4__”《论语·述而》【注释】孔子说：“志向于道，根据于德，依靠于仁，娴熟地掌握技艺。”这大概是孔子学术的总纲。,,道,德,仁,艺,,,
,,子曰：“不怨天，________；下学而上达，知我者其天乎！”《论语·宪问》——《大学人文教程》P61【注释】孔子说：“我上不埋怨天，下不怪罪别人。下学人事而上达真理，知道我的，只有天了。”其实这句的重点在“学”字，能下学，自然能够上达，孔子反己自修，循序渐进，以致其知。知愈深而怨尤自去，乃至于无人能知，唯天能知之境。孔子于人事能竭尽诚恳，于天命能尽其信。孔子所叙述的为学，极其平实，又极其高远。,,不尤人,,,,,,
,,子曰：“兴于诗，立于礼，成于_____。”《论语·泰伯》——《大学人文教程》P61【注释】孔子说：“诗篇使人启发，礼制使人成立，音乐使人完成。”孔子注重诗教，又重礼乐之化。如果只是徒慕于孔子的语言文字之间，则未免干枯缺少活泼滋润之功。,,乐,,,,,,
,,子曰：“三军可夺帅也，匹夫____________。”《论语·子罕》,,不可夺志也,,,,,,
,,子曰：“贤哉，回也，一箪食，一瓢饮，在陋巷，人不堪其忧，____________，贤哉，回也！”《论语·雍也》——《大学人文教程》61【注释】孔子说：“真有贤德啊，颜回！一盒饭，一瓢水，住在破巷子里，别人禁不住那忧愁，颜回却不改变他的快乐！真有贤德啊，颜回！”孔子也曾言：“饭疏食，饮水，曲肱而枕之，乐亦在其中，不义而富且贵，于我如浮云。”后世称“孔颜之乐”，凡有志于学的朋友，多多体会啊。,,回也不改其乐,,,,,,
,,子曰：“饭疏食，饮水，曲肱而枕之，乐亦在其中矣。不义而富且贵，__________。”《论语·述而》——《大学人文教程》P62【注释】孔子说：“吃着粗粮，喝白水，曲着胳膊当枕头用，乐趣就在其中啊，不正当的财富和官位，对我，就像浮在天上的云彩般。”,,于我如浮云,,,,,,
,,曾子曰：“士不可以不______，任重而道远。仁以为己任，不亦重乎？死而后已，不亦远乎?”《论语·泰伯》答案：弘毅【注释】曾子说：“士人不可以不弘大刚毅，责任重大，路途遥远，将行仁，将生命的大道作为自己的责任，这不是责任重大么？到死才停止，这不是路途遥远么？”,,弘毅,,,,,,
,,子曰：“无欲速，无见小利。欲速则不达，见小利则_________。”《论语·子路》——《大学人文教程》P62【注释】孔子说：“不要图快，不要贪小利益。图快，反而达不到目的，贪小利益，便办不成大事情。”,,大事不成,,,,,,
,,子贡问曰：“有一言而可以终身行之者乎？”子曰：“其___乎？己所不欲，勿施於人。”《论语·卫灵公》提示：答案为一个字。,,恕,,,,,,
,,夫仁者，己欲立而立人，______________。《论语·雍也》——《大学人文教程》P62【注释】真正仁德的人，自己想成立，就帮助别人成立，自己想兴旺发达，就帮助别人兴旺发达。,,己欲达而达人,,,,,,
,,君子____________，嘉善而矜不能。”《论语·子张》——《大学人文教程》P62【注释】君子尊重贤能的人，也能够宽容众人，嘉奖做得突出的人，也能够体谅那些能力不够的人。,,尊贤而容众,,,,,,
,,子不语____、力、乱、神。《论语·述而》,,怪,,,,,,
,,子绝四：毋意，毋必，毋固，_____。《论语·子罕》答案：毋我【注释】孔子杜绝四种毛病：不主观臆断；不必然的肯定或否定；不拘泥固执，不自我中心、自以为是。,,毋我,,,,,,
,,________，以及人之老，_______，以及人之幼，天下可运于掌。《梁惠王上》,,老吾老,幼吾幼,,,,,
,,权，然后知轻重；度，然后知长短。物皆然，____为甚。《孟子·梁惠王上》,,心,,,,,,
,,自反而缩，__________，吾往矣。,,虽千万人,,,,,,
,,以力服人者，非心服也，力不赡也；以德服人者，__________，如七十子之服孔子也。《孟子·公孙丑上》,,中心悦而诚服也,,,,,,
,,无________之心，非人也；无________之心，非人心；无________之心，非人也；无________之心，非人也。,,恻隐,羞恶,辞让,是非,,,
,,君子莫大乎__________。《孟子·公孙丑上》,,与人为善,,,,,,
,,天时不如_____，地利不如________。《公孙丑下》,,地利,人和,,,,,
,,离娄之明，公输子之巧，不以______，不能成方圆。《孟子·离娄上》,,规矩,,,,,,
,,得道者多助，失道者寡助。寡助之至，亲戚畔之；多助之至，___________。《公孙丑下》,,天下顺之,,,,,,
,,行有不得，皆__________。其身正而天下归之。”《离娄上》,,反求诸己,,,,,,
,,夫人必______，然后人侮之；家必自毁，而后人毁之，国必自伐，然后人伐之。《孟子·离娄上》,,自侮,,,,,,
,,鱼，我所欲也，熊掌，亦我所欲也；二者不可得兼，舍鱼而取熊掌者也。生，亦我所欲也，义，亦我所欲也；二者不可得兼，____________者也。《告子上》,,舍生而取义,,,,,,
,,其进锐者，_______。《孟子·尽心上》,,其退速,,,,,,
,,贤者以其______使人昭昭，今以其昏昏使人昭昭。《孟子·尽心》,,昭昭,,,,,,
,,___为贵，社稷次之，君为轻。《孟子·尽心下》,,民,,,,,,
,,居天下之广居，___________，行天下之大道。得志，与民由之;不得志，___________。富贵不能淫，贫贱不能移，威武不能屈，此之谓_________。《孟子·滕文公下》,,立天下之正位,独行其道,大丈夫,,,,
,,故天将降大任于是人也，必先_________，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为，所以_________，曾益其所不能。——《孟子·告子下》,,苦其心志,动心忍性,,,,,
,,生于忧患，_______________。《孟子·告子下》,,死于安乐,,,,,,
,,三纲领：大学之道，_________，在亲民，在止于至善《大学人文语文》P68,,在明明德,,,,,,
,,_____而后有定，定而后能静，静而后能安，安而后能虑，虑而后能得。《大学人文语文》P68,,知止,,,,,,
,,八条目：格物、致知、_________、正心、修身 （内圣）齐家、治国、_________ 。 （外王）《大学人文语文》P68,,诚意,平天下,,,,,
,,小人闲居为不善，无所不至，见君子而后厌然，掩其不善而著其善。 人之视己，如见其肺肝然，则何益矣。此谓诚于中，形于外，故君子__________也。《大学人文语文》P68,,必慎其独,,,,,,
,,富润屋，________，心广体胖，故君子必诚其意。《大学人文语文》P68,,德润身,,,,,,
,,____也者，天下之大本也；____也者，天下之达道也。致中和，天地位焉，万物育焉。——《中庸》,,中,和,,,,,
,,__________，强哉矫！__________，强哉矫！国有道，不变塞焉，强哉矫！国无道，至死不变，强哉矫！——《中庸》《大学人文语文》P69,,故君子和而不流,中立而不倚,,,,,
,,博学之，审问之，慎思之，明辨之，_________。《大学人文语文》P69,,笃行之,,,,,,
,,人一能之，己百之；人十能之，己千之。果能此道矣，虽愚________，虽柔________。《中庸》《大学人文语文》P69,,必明,必强,,,,,
,,唯天下_______，为能尽其性；能尽其性，则能尽人之性；能尽人之性，则能尽物之性；能尽物之性，则可以赞天地之化育；可以赞天地之化育，则可以与天地参矣。《大学人文语文》P69,,至诚,,,,,,
,,博厚配______，高明配_______，悠久无疆。如此者，不见而章，不动而变，无为而成。《大学人文语文》P69,,地,天,,,,,
,,故君子尊德性而道问学，致广大而尽精微，极高明而__________。《大学人文语文》P69-70,,道中庸,,,,,,
,,___________，必有馀庆；积不善之家，必有馀殃。《周易·坤·文言》《大学人文语文》P71,,积善之家,,,,,,
,,二人________，其利断金；同心之言，其臭如兰。《周易·系辞上·第八章》《大学人文语文》P71,,同心,,,,,,
,,乱之所生也，则_______以为阶。君不密则失臣，臣不密则失身，幾事不密则害成。是以君子慎密而不出也。《周易·系辞上·第八章》《大学人文语文》P71,,言语,,,,,,
,,《易》:穷则变，变则通，通则_____。《大学人文教程》P71,,久,,,,,,
,,德薄而__________，知小而谋大，力小而任重，鲜不及矣。《大学人文语文》P71,,位尊,,,,,,
,,满招损，___受益，时乃天道。《尚书·虞书·大禹谟》《大学人文语文》P72,,谦,,,,,,
,,民可近，不可下。____惟邦本，本固邦宁。《尚书·夏书·五子之歌》民可近，不可下：老百姓可以亲近，不可以轻贱。,,民,,,,,,
,,树德务滋 [ 滋：增添，加多。]，___务本。《尚书·周书·泰誓下》答案:除恶,,除恶,,,,,,
,,不矜______，终累大德。为山九仞，功亏一篑。《尚书·周书·旅獒》《大学人文语文》P72,,细行,,,,,,
,,不矜________，终累大德。为山九仞，功亏一篑。《尚书·周书·旅獒》《大学人文语文》P72,,细行,,,,,,
,,必有_____，其乃有济；_______，德乃大。《尚书·周书·君陈》《大学人文语文》P72,,忍,有容,,,,,
,,政贵（     ），辞尚（    ），不惟好异。《尚书·周书·毕命》——《大学人文教程》P72,,有恒,体要,,,,,
,,相鼠_____，人而无仪，人而无仪，不死何为？《诗经·鄘风·相鼠》——《大学人文教程》P73,,有皮,,,,,,
,,有匪君子，如切如磋，__________。《诗经·卫风·淇奥》答案：如琢如磨【小注】那些有神采的君子啊，他们经过了多少磨砺，多少淬炼，生命就那样在不断升华！那普普通通的材料，也可以变得“如金如锡，如圭如璧”！！您看，他们的学问、品质、言行、举止，那样深厚温润，那样有风度、有光华，他们就像那切磋琢磨过的美玉！切、磋、琢、磨，是古代加工玉、石、骨、象牙器的基本工序。,,如琢如磨,,,,,,
,,它山之石，可以为错。它山之石，___________。《诗经·小雅·鹤鸣》,,可以攻玉,,,,,,
,,战战兢兢，_________，如履薄冰——《大学人文教程》P73,,如临深渊,,,,,,
,,鸢飞于天，_________，岂弟君子，遐不作人？《诗经·大雅·旱麓》后两句意：和平快意的君子啊，何不让那一代新人尽情施展呢？——《大学人文教程》P73,,鱼跃于渊,,,,,,
,,靡不有初，_________。《诗经·大雅·荡》谁没有好的初心呢？很少有人能够善始善终啊。——《大学人文教程》P73,,鲜克有终,,,,,,
,,白圭有玷，尚可磨也；斯言之玷，__________。《诗经·大雅·抑》——《大学人文教程》P73,,不可为也,,,,,,
,,__________。往而不来，非礼也；来而不往，亦非礼也。《礼记·曲礼上》《大学人文教程》P74,,礼尚往来,,,,,,
,,君子之爱人以____，细人之爱人以姑息。《礼记·檀弓上》《大学人文教程》P74,,德,,,,,,
,,大道之行也，________，选贤与能，讲信修睦。《礼记·礼运》《大学人文教程》P74,,天下为公,,,,,,
,,学，然后知不足；教，然后知困。知不足，然后能自反也；知困，然后能自强也。故曰：_________也。《礼记·学记》《大学人文教程》P74,,教学相长,,,,,,
,,张而不弛，文、武弗能也；弛而不张，文武弗为也；____________，文、武之道也。《礼记·杂记下》《大学人文教程》P74,,一张一弛,,,,,,
,,口惠而___不至，怨灾及自身。《礼记·表记》《大学人文教程》P74,,实,,,,,,
,,多行不义，_______。,,必自毙,,,,,,
,,师克在___不在众。《左传·桓公十一年》,,和,,,,,,
,,夫战，勇气也。___________，再而衰，三而竭。《左传·庄公十年》,,一鼓作气,,,,,,
,,_______，怨之所聚也。《左传·文公五年》《大学人文教程》76,,华而不实,,,,,,
,,___________，身其馀几？《左传·文公十七年》,,畏首畏尾,,,,,,
,,_____，身之干也；_____，身之基也。《左传·成公十三年》《大学人文教程》P76,,礼,敬,,,,,
,,《书》曰：“____________。”思则有备，有备无患。《左传·襄公十一年》,,居安思危,,,,,,
,,人法地，地法天，天法道，道法______。（《老子》第25章)答案：自然今天给大家介绍《老子》的优质普及版本陈鼓应《老子今注今译》，商务印书馆。其它“中华书局”的版本也可以。资料库里有陈鼓应版本的PDF，需要的朋友请下载。一定要依可靠的注本扎扎实实读原典，体味原汁原味的经典，而不是仅仅听各种演讲，那样会浮在面上，听别家细数珍宝。学会精读。我在武大哲院听过一场很有启发性的讲座。主讲人教我们主攻专业领域内有相当高度的书，并精读人文（生命）领域内最感兴趣的经典。精读到什么程度呢?读到完全可以与作者对话，书中的语言如同自己纾出。他说，这样读过的书不必多，有一两部就足以脱胎换骨的更化。大家是否有启发?钱穆先生有“新四书”之说，即《论语》《孟子》《老子》《庄子》，大家可先了解，最后至少选一本作为大学四年的精读书。读经典务使生命有受用。,,自然,,,,,,
,,__________，骤雨不终日。(23章)《大学人文教程》P77,,飘风不终朝,,,,,,
,,合抱之木 ，生于毫末； 九层之台 ，起于累土； 千里之行 ，始于______。（64章）《大学人文教程》P77,,足下,,,,,,
,,_________，水善利万物而不争。（《老子》第八章）,,上善若水,,,,,,
,,"含德之厚，比于______……终日号而不嗄,和之至也。(《老子》55章)",,赤子,,,,,,
,,人之生也柔弱，其死也坚强。草木之生也柔脆，其死也枯槁。坚强者死之徒，______生之徒。是以兵强则灭，木强则折。强大处下，柔弱处上。（76章）,,柔弱者,,,,,,
,,持而盈之，不如其已。揣而锐之，不可长保 。金玉满堂，莫之能守。富贵而骄，自遗其咎。________，天之道也 。（9章）,,功遂身退,,,,,,
,,柔弱胜刚强，鱼不可脱于渊，国之利器_________。（36章）,,不可以示人,,,,,,
,,将欲翕之，必固张之；将欲弱之，必固强之；将欲废之，必固举之；将欲取之，必固与之，是谓______。（36章）,,微明,,,,,,
,,我有三宝，持而保之，一曰慈，二曰俭，三曰_____________。慈故能勇，俭故能广，不敢为天下先，故能成器长。（67章）,,不敢为天下先,,,,,,
,,悠兮其贵言，功成事遂，百姓皆谓：_______。（17章）__________，以万物为刍狗，圣人不仁，以百姓为刍狗。（5章）道常无为而_________。（37章）,,我自然,天地不仁,无不为,,,,
,,不尚贤，使民____；不贵难得之货，使民______；不见可欲，使民________。是以圣人之治，虚其心，实其腹，弱其志，强其骨。常使民无知无欲，使夫智者不敢为也。为无为，则无不治。（3章）,,不争,不为盗,心不乱,,,,
,,"挫其锐，解其纷，和其光，________，湛兮，似或存。吾不知谁之子,象帝之先。（4章）、圣人方而不割，廉而不刿，直而不肆，___________。（58章）",,同其尘,光而不耀,,,,,
,,泉涸，鱼相与处于陆，相呴以湿，相濡以沫，________________。——选自《庄子·大宗师》《大学人文教程》P83,,不如相忘于江湖,,,,,,
,,井蛙不可以语于_____者，拘于虚也；夏虫不可以语于______者，笃于时也；曲士不可以语于_____者，束于教也。,,海,冰,道,,,,
,,外重内拙：以____注者巧，以钩注者惮，以____注者殙。其巧一也，而有所矜也，则重外也。凡外重者内拙。——《庄子》打赌，用瓦块做赌注的时候，心里没有负担，心思灵巧。用铜钩做赌注的时候，心里便有所顾忌。用黄金做赌注的时候，赌输的恐惧就会使他心思昏乱。赌的技巧是一样的，但是由于心里有了负担，表现出来的技巧就大不一样了，这就是看重外物的结果。凡是过于看重外物，心中充满着杂念的人，内心一定是笨拙的。附录：夫至人者，上窥青天，下潜黄泉，挥斥八极，神气不变。——《列子·黄帝》第一空：瓦第二空：黄金,,瓦,黄金,,,,,
,,惠子曰：“子非鱼，安知鱼之乐？”庄子曰：“子非我，________________？”,,安知我不知鱼之乐,,,,,,
,,查核各题的题干与答案对否。有小BUG没在每一道题后面添加出处，格式如下杨雪为主，新加内容尽快做。前面的慢慢做，什么时候做完都行。——《大学人文教程》P37,,——《大学人文教程》P37,,,,,,
,,天行________，不为尧存，不为桀亡。应之以治则吉，应之以乱则凶。,,有常,,,,,,
,,夫爱人者，__________________；利人者，人必从而利之；恶人者，人必从而恶之；害人者，人必从而害之。,,人必从而爱之,,,,,,
,,_______而屈人之兵，善之善者也。______________，百战不殆。——《孙子兵法·谋攻》98,,不战,,,,,,
,,故审知今，则可知古，知古则可知后，古今前后_____也。——选自《吕氏春秋·长见》,,一,,,,,,
,,张载的横渠四句：为天地立心，______________，为往圣继绝学，为万世开太平。,,为生民立命,,,,,,
,,诸子十家，其可观者九家而已。皆起于王道既微，诸侯力政，时君世主，好恶殊方，是以九家之术蜂出并作，各引一端，崇其所善，以此驰说，取合诸侯。其言虽殊，辟犹水火，相灭亦相生也。仁之与义，敬之与和，相反而皆相成也。《易》曰：“天下_____________，一致而百虑。”——《汉书·艺文志·诸子略》序《大学人文教程》P103,,同归而殊途,,,,,,
,,贝奈戴托·克罗齐BenedettoCroce：一切真历史都是________.《大学人文教程》112,,当代史,,,,,,
,,钱穆：所谓对其本国已往历史略有所知者，尤必附随一种对其本国已往历史之温情与_________。《大学人文教程》P115,,敬意,,,,,,
,,钱穆：中国文化向极注重“______”精神，而人文精神的主要重心则在人的“______”。《大学人文教程》P115,,人文,心,,,,,
,,士之读书治学，盖将以脱心志于俗谛之桎梏，真理因得以发扬。思想而不自由，毋宁死耳。斯古今仁贤所同殉之精义，其岂庸鄙之敢望。先生以一死见其独立自由之意志，非所论于一人之恩怨，一姓之兴亡。呜呼！树兹石于讲舍，系哀思而不忘。表哲人之奇节，诉真宰之茫茫。来世不可知者也，先生之著述，或有时而不章。先生之学说，或有时而可商。惟此独立之精神，_______________，历千万祀，与天壤而同久，共三光而永光。《大学人文教程》P117,,自由之思想,,,,,,
,,梁漱溟：中国文化最大之偏失，在_______永不被发现。、答案：个人,,个人,,,,,,
,,中国传统学术的两大纲:_________之学、___________之学。（钱穆）答案：心性之学、治平之学同学们，大家好，今日正式开课。我们谈中华文化，文化这个概念浩大无方，我们首先借钱穆的话说说纲领。我们希望拎起中华优秀文化的真精神来。课程不仅仅是知识与理论的，希望对大家的生命养成有切实受用。这是一个共同成长，交流的平台。愿大家暑期开心。附件：钱穆纪录片两个，比较长，感兴趣的小伙伴请关注。央视·天涯共此时·钱穆：http://news.cntv.cn/2014/10/08/VIDE1412736120592839.shtml 凤凰视频·我的中国心·钱穆：https://mp.weixin.qq.com/s/EVNTL2MwiQDkL1nm8Hj1Iw,,心性,治平,,,,,
,,“究天人之际，_______________，成一家之言”——司马迁——《大学人文教程》133,,通古今之变,,,,,,
,,仓廪实而_______，衣食足而_________，上服度则六亲固。四维不张，国乃灭亡。下令如流水之原，令顺民心。——《史记·管晏列传》《大学人文语文》134,,知礼节,知荣辱,,,,,
,,_______通西域，是中西交通史上一个十分重要的事件。著名的“丝绸之路”从此打开。但是人们在称颂张骞功绩的时候，是否想到过张骞经历的艰苦呢？他第一次出使时，“行时百余人，去十三岁，唯二人得还。”“凿空”的工作，是需要付出极大代价的。《大学人文语文》p137,,张骞,,,,,,
,,我愿作证，一切行为高贵端正的人，一定能藉此()。——贝多芬《大学人文教程》148,,承受所有不幸,,,,,,
,,古今之成大事业、大学问者，必经过三种之境界。“昨夜西风凋碧树，_____________，望尽天涯路”，此第一境也。“衣带渐宽终不悔，为伊消得人憔悴”，此第二境也。“众里寻他_____________，蓦然回首，那人正在灯火阑珊处”，此第三境也。王国维《人间词话》,,独上高楼,千百度,,,,,
,,诗人对宇宙人生，须入乎其内，又须出乎其外。入乎其内，故能_______；出乎其外，故能_______。入乎其内，故有________；出乎其外，故有________。——王国维《人间词话》,,写之,观之,生气,高致,,,
,,凡操千曲而后晓声，观千剑而后识器。故圆照之象，务先________。刘勰《文心雕龙》——《大学人文教程》P152,,博观,,,,,,
,,在心为____，发言为_____。情动于中而形于言，言之不足，故嗟叹之，嗟叹之不足，故永歌之，永歌之不足，不知手之舞之足之蹈之也。——《毛诗序》《大学人文教程》P153,,志,诗,,,,,
,,_____之音安以乐，其政和；_____之音怨以怒，其政乖；_____之音哀以思，其民困。——《毛诗序》153,,治世,乱世,亡国,,,,
,,盖文章，______________，不朽之盛事。——曹丕《典论·论文》154,,经国之大业,,,,,,
,,唐诗多以__________擅长，宋诗多以_________见胜。——钱钟书,,丰神情韵,筋骨思理,,,,,
,,1.2含蓄________，尽得风流。相视而笑，________。盈盈一水间，_______。157,,不着一字,莫逆于心,脉脉不得语,,,,
,,学我者生，____我者死。——齐白石画到情神飘没处，更无真相有真魂。——郑板桥——《大学人文教程》P160,,似,,,,,,
,,宋祁的“红杏枝头春意闹”，词眼字______张先的“云破月来花弄影”，词眼字______《大学人文语文》p162,,闹,弄,,,,,
,,蒹葭苍苍，白露为霜。所谓伊人，____________。溯洄从之，道阻且长。溯游从之，宛在水中央。 　——《诗经·秦风》《大学人文语文》p165,,在水一方,,,,,,
,,青青子衿，______________。纵我不往，子宁不嗣音？——《诗经·郑风》《大学人文语文》p166,,悠悠我心,,,,,,
,,彼黍离离，彼稷之苗。行迈靡靡，中心摇摇。知我者，谓我心忧；不知我者，__________。悠悠苍天！此何人哉？《大学人文语文》p167,,谓我何求,,,,,,
,,举世皆浊我独清，_______________，是以见放。新沐者必弹冠，________________。——《楚辞·渔父》168,,众人皆醉我独醒,新浴者必振衣,,,,,
,,____________兮，可以濯吾缨；_____________兮，可以濯吾足。《楚辞·渔父》《大学人文教程》P168【译】沧浪之水清又清，可以洗我的帽子。沧浪之水浊又浊，可以洗我的泥巴脚。,,沧浪之水清,沧浪之水浊,,,,,
,,东汉诗歌《上邪》中，主人公连用了五种绝不可能出现的自然现象，这五种自然现象是：山无陵，_________，冬雷震震，夏雨雪，___________。【小注】这首诗选自《汉乐府民歌》。是热恋中的情人对于爱情的誓言。它语言质朴、参差不齐、全无修饰，却有令人惊心动魄的力量。诗中主人公连用了五种绝不可能出现的自然现象，深情奇想，歌唱坚贞热烈的爱，是短章中之神品。全诗：上邪！我欲与君相知，长命无绝衰。山无陵，江水为竭，冬雷震震，夏雨雪，天地合，乃敢与君绝！附件中有哈辉的雅乐新唱《上邪》，请感兴趣的小伙伴欣赏。《上邪》哈辉.mp4,,江水为竭,天地合,,,,,
